Punto	X	Y	Abu_Lomb	HZ_A 	HS	DA	pH	BH	BDF	MO 	estacion
1	1045190.56711000000	1352342.53120000000	3	0.0	17.7	1.4	6.7	75.3	16.1	14.4	seca
3	1044695.40874000000	1351376.91084000000	0	3.0	29.4	0.8	6.5	139.2	54.2	16.2	seca
4	1044750.59411000000	1351363.43036000000	0	0.1	31.4	1.1	7.0	47.6	21.7	15.0	seca
5	1044811.90330000000	1351356.72247000000	1	2.5	30.6	0.8	6.5	94.0	62.0	18.5	seca
6	1044874.57414000000	1351350.69263000000	0	1.6	23.7	1.1	6.6	109.0	51.2	16.8	seca
7	1044930.43358000000	1351344.65632000000	0	1.7	17.5	1.5	6.7	141.9	75.1	12.2	seca
8	1044993.10382000000	1351339.30330000000	2	1.0	27.6	1.0	6.2	76.5	46.8	18.3	seca
9	1045051.00543000000	1351334.62244000000	0	1.3	30.1	0.9	6.9	96.2	40.2	18.4	seca
10	1045106.86297000000	1351330.61633000000	1	1.6	21.3	0.7	6.9	111.9	160.2	24.2	seca
11	1045110.21119000000	1351390.16609000000	4	1.2	27.7	0.9	6.4	119.5	57.1	16.7	seca
12	1045106.74930000000	1351448.35587000000	1	2.8	25.2	1.0	6.6	120.8	27.0	20.8	seca
13	1045065.17300000000	1351476.05895000000	6	2.0	20.7	0.9	6.3	167.4	143.0	17.6	seca
14	1045006.59172000000	1351479.38580000000	1	1.6	23.0	1.1	6.2	171.8	67.0	12.9	seca
15	1044945.96510000000	1351484.74074000000	0	2.6	36.6	0.8	6.5	105.8	20.8	15.4	seca
16	1044886.70142000000	1351489.42041000000	0	0.0	23.5	1.2	6.2	94.6	37.3	14.6	seca
17	1044826.75596000000	1351494.77615000000	0	1.2	34.7	1.0	5.9	130.9	103.3	12.3	seca
18	1044768.17152000000	1351501.48661000000	0	2.7	30.5	0.9	5.8	110.4	48.4	15.0	seca
19	1044705.50154000000	1351506.83990000000	1	2.5	32.3	1.0	6.7	308.3	35.3	16.4	seca
20	1044646.91712000000	1351513.55050000000	0	2.5	25.6	0.8	6.2	268.3	62.0	16.7	seca
21	1044652.98787000000	1351575.80921000000	0	2.0	38.1	0.9	5.9	173.5	52.7	18.9	seca
22	1044658.38134000000	1351634.00723000000	1	1.0	32.8	1.0	5.8	168.0	45.8	18.7	seca
23	1044718.32723000000	1351627.97464000000	6	0.8	81.9	0.6	6.3	128.9	46.6	19.6	seca
24	1044776.90827000000	1351624.64745000000	0	0.0	28.3	1.0	6.4	120.9	38.4	14.0	seca
25	1044838.21843000000	1351616.58633000000	0	0.0	34.3	0.8	6.4	74.7	99.7	17.1	seca
26	1044899.52731000000	1351609.87860000000	1	1.2	33.6	1.0	6.3	114.7	49.8	19.0	seca
27	1044956.74807000000	1351604.52035000000	3	2.2	30.7	0.8	5.9	103.2	62.8	27.5	seca
28	1045017.37650000000	1351597.13546000000	1	1.4	23.4	1.2	5.7	107.6	163.0	12.3	seca
29	1045077.32055000000	1351593.13329000000	0	2.3	20.3	1.1	6.2	93.3	34.7	19.9	seca
30	1045116.13040000000	1351608.73398000000	1	1.4	0.0	0.0	6.6	220.5	174.4	16.6	seca
31	1045120.15904000000	1351668.96071000000	1	0.5	20.5	0.9	6.6	120.0	38.4	14.7	seca
32	1045087.42267000000	1351712.23536000000	1	2.3	28.0	1.0	6.5	149.4	42.8	22.4	seca
33	1045029.52088000000	1351717.59278000000	3	1.5	24.8	1.0	6.3	107.0	18.9	15.8	seca
34	1044970.25878000000	1351720.91898000000	1	1.3	36.2	0.6	6.4	218.2	192.8	42.5	seca
35	1044909.63117000000	1351727.62724000000	0	0.5	30.4	1.1	5.9	142.8	60.4	11.3	seca
36	1044849.68537000000	1351733.65958000000	3	2.0	30.9	1.0	6.0	70.0	27.3	14.8	seca
37	1044789.73958000000	1351739.69199000000	2	1.2	34.3	1.0	5.7	46.5	23.0	12.7	seca
38	1044729.79447000000	1351745.04781000000	4	3.0	36.2	1.1	6.3	86.0	60.6	13.4	seca
39	1044671.21164000000	1351750.40502000000	0	0.6	28.4	1.1	6.2	118.0	71.3	15.6	seca
41	1044684.06127000000	1351846.50281000000	0	2.2	29.1	1.3	5.7	171.7	96.3	13.9	seca
42	1044741.25838000000	1351865.50399000000	4	3.1	28.9	1.1	6.7	150.0	246.9	13.1	seca
43	1044799.84172000000	1351859.47024000000	0	1.9	27.4	1.0	6.9	287.6	184.0	12.5	seca
44	1044859.78736000000	1351853.43786000000	1	0.1	31.8	1.1	6.5	190.3	6.2	13.9	seca
45	1044921.09398000000	1351848.76019000000	1	0.3	33.2	0.9	6.1	111.3	39.6	13.2	seca
46	1044982.40126000000	1351843.40594000000	0	0.9	26.2	1.1	5.9	144.8	33.1	15.4	seca
47	1045038.26079000000	1351836.69320000000	1	0.0	17.5	1.4	6.1	76.6	6.9	10.0	seca
48	1045100.24730000000	1351833.36973000000	0	0.8	23.5	1.0	6.3	125.8	59.0	14.6	seca
49	1045160.87612000000	1351825.30842000000	1	0.1	20.3	1.3	6.3	68.0	32.8	13.7	seca
50	1045218.09601000000	1351820.62718000000	0	1.5	20.8	1.0	5.9	167.7	49.8	14.8	seca
51	1045227.57686000000	1351877.47564000000	0	1.7	21.0	1.2	6.4	101.9	54.6	12.0	seca
