"File"	"Group"	"X."	"duration"	"interval"	"disttomax"	"start.time"	"end.time"	"peak.freq.start."	"peak.ampl.start."	"min.freq.start."	"max.freq.start."	"bandw.start."	"peak.freq.end."	"peak.ampl.end."	"min.freq.end."	"max.freq.end."	"bandw.end."	"peak.freq.centre."	"peak.ampl.centre."	"min.freq.centre."	"max.freq.centre."	"bandw.centre."	"peak.freq.max."	"peak.ampl.max."	"min.freq.max."	"max.freq.max."	"bandw.max."	"Especie"
"1"	"2020-02-23 22-05-33"	1	1	0.0016	"_"	8e-04	0.0035	0.0051	122195	-65.97	80937	141562	60625	89372	-66.81	76562	139062	62500	117191	-62.67	78437	141250	62812	117191	-62.67	78437	141250	62812	"Centurio senex"
"2"	"2020-02-23 22-05-33"	1	2	0.0012	"3.04E-2"	4e-04	0.0339	0.0351	121569	-64.98	77187	141562	64375	88737	-65.31	72187	139375	67187	121569	-63.59	74062	141250	67187	121569	-63.59	74062	141250	67187	"Centurio senex"
"3"	"2020-02-23 22-05-33"	1	3	0.0016	"2.4799999999999999E-2"	8e-04	0.0587	0.0603	122192	-67.33	77500	141875	64375	88413	-65.66	73750	138750	65000	122185	-63.34	75937	140937	65000	122185	-63.34	75937	140937	65000	"Centurio senex"
"4"	"2020-02-23 22-05-33"	1	4	0.0016	"2.64E-2"	8e-04	0.0851	0.0867	123126	-64.33	76562	140937	64375	87825	-65.7	73125	136875	63750	87827	-61.14	74375	139375	65000	87827	-61.14	74375	139375	65000	"Centurio senex"
"5"	"2020-02-23 22-05-33"	1	5	0.0016	"3.7600000000000001E-2"	8e-04	0.1227	0.1243	123131	-65.7	78750	143437	64687	91250	-65.37	75000	140625	65625	123123	-61.35	77500	141562	64062	123123	-61.35	77500	141562	64062	"Centurio senex"
"6"	"2020-02-23 22-05-33"	1	6	0.0016	"2.1600000000000001E-2"	8e-04	0.1443	0.1459	122186	-63.44	78125	140625	62500	90618	-64.42	75625	136562	60937	90928	-59.63	77500	139375	61875	90928	-59.63	77500	139375	61875	"Centurio senex"
"7"	"2020-02-23 22-05-33"	2	1	0.0016	"_"	8e-04	0.0047	0.0063	115619	-67.23	55000	140937	85937	88466	-68.47	40625	135625	95000	115010	-63.27	78750	139062	60312	115010	-63.27	78750	139062	60312	"Centurio senex"
"8"	"2020-02-23 22-05-33"	2	2	0.0016	"0.1168"	4e-04	0.1215	0.1231	117492	-66.95	79687	140937	61250	90949	-70.48	40312	136875	96562	113444	-64.59	78437	139375	60937	113445	-64.54	79062	140625	61562	"Centurio senex"
"9"	"2020-02-23 22-05-33"	1	1	0.0052	"_"	0.0012	0.0102	0.0154	131877	-58.91	101875	150312	48437	42605	-60.16	40000	78437	38437	91245	-56.71	40625	130000	89375	121553	-52.94	81250	141562	60312	"Centurio senex"
"10"	"2020-02-23 22-07-36"	1	1	0.0016	"_"	8e-04	0.0103	0.0119	90929	-67.99	78125	136250	58125	90904	-68.67	75312	122812	47500	90922	-63.22	77187	130312	53125	90922	-63.22	77187	130312	53125	"Centurio senex"
