ID_unico	ID_formato	Localidad	Ano	Mes	Dia	Hora	Red	Encargado	Especie	Peso	Sexo	longitud total	longitud cola	longitud pata	longitud oreja	longitud trago	longitud antebrazo	Polen/Fecas	observaciones		
1	1	SM	2015	3	3	19:30:00	1	SCR	Carollia brevicauda	21.2	H	70	8	12	16	8	40	F	Embarazda		
2	2	SM	2015	3	3		1	SCR	Carollia brevicauda	20.2	H	70	7	12	16	6	40	F	Embarazada; fecas solo insectos		
3	3	SM	2015	3	3	19:30:00	1	JLPV	Anoura caudifera	10.02	M	53	4	8	14	6	36	P			
4	4	SM	2015	3	3	19:30:00	1	MJE	Carollia brevicauda	12.02	M	70	6	9	14	5	40	F	no semillas		
5	5	SM	2015	3	3	20:00:00	1	LSD	Vampyressa thyone	10.8	H	50	0	5	13	4	37	F			
6	6	SM	2015	3	3	21:00:00	1	LSD	Dermanura cf. Bogotensis	25.51	H	58	0	4	12	4	42	F			
7	7	SM	2015	3	4	19:30:00	2	DMA	Sturnira 1	16.14	H	63	0	9	11	3	40	F	no semillas		
8	8	SM	2015	3	4	19:30:00	2	LSD	Carollia brevicauda	16.68	H	65	7	11	17	6	40	F			
9	9	SM	2015	3	4	19:30:00	2	DAG	Sturnira 2	22.05	M	60	0	12	15	6	42	F	borde del uropatagio peludo		
10	10	SM	2015	3	4	20:00:00	2	MJE	Sturnira 1	24.01	H	65	0	10.5	10.4	3	45	F			
11	11	SM	2015	3	4	20:00:00	2	DMA	Sturnira 1	17.44	M	47	0	11	13	6	41	F			
12	12	SM	2015	3	4	20:00:00	2	MJE	Sturnira 2	16.13	M	60	0	10	12	5	40	NO	charreteras visibles		
13	13	SM	2015	3	4	20:30:00	2	DMA	Sturnira 2	30.25	H	62	0	11	14	7	47	F	lactante		
14	14	SM	2015	3	4	20:30:00	2	DMA	Carollia perspicillata	16.89	H	74	9	12	19	8	41	F			
15	15	SM	2015	3	4	20:30:00	2	DMA	Sturnira 1	17.77	H	60	0	11	14	4	41	P/F			
16	16	SM	2015	3	4	21:20:00	2	DMA	Sturnira 2	29.7	H	68	0	13	16	7	46	F	lactante		
17	1	T	2015	2	11	19:54:00	1	ECR	Carollia sp	14.95	M	70	10	11	17	4	35	F			
18	2	T	2015	2	11	20:00:00	1	ECR	Carollia sp	16.83	M	65	6	10	15	5	40	F			
19	3	T	2015	2	11	20:15:00	1	TVC	Carollia sp	20.14	M	71	12	15	15	7	40	F			
20	4	T	2015	2	11	20:42:00	1	ECR	Glossophaga sp.		H	50	9	8	14	3	45	N			
21	5	T	2015	2	11	21:08:00	1	ECR	Glossophaga sp.	12.3	H	55	6	10	13	3	45	N	pre–ada		
22	6	T	2015	2	11	21:21:00	1	TVC	Carollia perspicillata	19.33	M	54.6	5	11.3	16.6	7.2	41	F			
23	7	T	2015	2	11	21:29:00	1	ECR	Carollia perspicillata	19.67	M	65	10	11	17	6	40	F			
24	8	T	2015	2	11	21:31:00	1	ECR	Glossophaga sp.	10.44	M	55	6	10	12	4	33	N	individuo muerto		
25	9	T	2015	2	12	19:15:00	2	DAG	Artibeus planirostris	19.32	H	78	0	15	18	7	63	N			
26	10	T	2015	2	12	19:40:00	2	JHP	Carollia sp	18.8	H	62	10	12	17	6	42	F			
27	11	T	2015	2	12	19:40:00	2	ECR	Uroderma bilobatum	12.73	M	64.5	0	6	13.4	4.2	40	N			
28	12	T	2015	2	12	19:40:00	2	DAG	Carollia perspicillata	17.1	H	70	12	12	20	7	42	N			
29	13	T	2015	2	12	19:40:00	2	DAG	Artibeus planirostris	37.31	M	80	0	16	21	6	63	F			
30	14	T	2015	2	12	19:40:00	2	DAG	Carollia perspicillata	17.35	H	65	9	12	20	7	43	F			
31	15	T	2015	2	12	19:40:00	2	DAG	Tonatia saurophila	29.42	H	96	18	13	31	13	65	F			
32	16	T	2015	2	12	20:40:00	2	JHP	Carollia perspicillata	17.24	H	63	13	10	17	5	40	F			
33	17	T	2015	2	12	20:40:00	2	ECR		14.17	H								"hembra con cria, liberada"		
34	18	T	2015	2	12	21:00:00	2	DAG	Glossophaga soricina	9	H	58	8	10	12	4	36	N			
35	19	T	2015	2	13	19:30:00	2	DAG	Micronycteris sp.	18.2	M	70	9	8	19	7	37	F			
36	20	T	2015	2	13	19:30:00	2	TVC	Tonatia saurophila		M	89	20	15	30	10	62				
37	21	T	2015	2	13	19:30:00	2	DMA	Carollia perspicillata	16.6	H	72	7	12	18	7	41	F			
38	22	T	2015	2	13	19:30:00	2	DAG	Carollia perspicillata	22.8	H	68	8	13	18	8	43	F	Pre–ada		
