Fish	Sex	Length	AnalFinLength	DorsalFinLength	DorsalFinHeight	BodyDepthMidBody	ln(Length)	ln(AnalFinLength)	ln(DorsalFinLength)	ln(DorsalFinHeight)	ln(BodyDepth)
F5	F	22.54	2.91	2.6	2.01	8.93	3.115291509	1.068153081	0.955511445	0.698134722	2.189416395
F6	F	22.6	3.16	2.73	2.7	8.5	3.117949906	1.150572028	1.004301609	0.993251773	2.140066163
F7	F	23.12	3.21	3.01	2.05	9.29	3.140698044	1.166270937	1.101940079	0.717839793	2.228938553
F4	F	23.64	3.05	2.81	1.92	9.6	3.162940193	1.115141591	1.033184483	0.652325186	2.261763098
F2	F	23.92	3.16	3.23	2.4	10	3.174714929	1.150572028	1.172482137	0.875468737	2.302585093
F1	F	24.45	2.95	3.3	2.47	9.49	3.196630216	1.08180517	1.193922468	0.904218151	2.250238613
F3	F	24.75	2.89	3.24	2.61	9.36	3.208825489	1.061256502	1.17557333	0.959350221	2.23644529
UF37	F	28.75	3.72	3.66	2.96	10.78	3.358637767	1.313723668	1.297463147	1.085189268	2.377692565
UF34	F	28.89	3.68	3.77	2.33	10.51	3.363495514	1.302912752	1.327075001	0.845868268	2.352327185
UF36	F	29.03	4.08	3.68	2.36	9.82	3.368329778	1.406096988	1.302912752	0.858661619	2.284421122
UF35	F	29.87	3.2	3.87	2.54	11.12	3.396854632	1.16315081	1.353254507	0.932164081	2.408745289
UF12	F	29.92	3.74	3.31	3.45	12.2	3.398527153	1.319085611	1.196948189	1.238374231	2.501435952
UF30	F	30.68	3.22	3.96	2.44	12.24	3.423610976	1.16938136	1.376244025	0.891998039	2.504709277
UF23	F	31.22	4.1	4.62	2.92	11.3	3.441058915	1.410986974	1.530394705	1.071583616	2.424802726
UF33	F	31.3	4.36	4.46	3.12	11.81	3.443618098	1.472472057	1.495148766	1.137833002	2.46894663
UF29	F	31.66	3.81	4.59	2.73	12.18	3.455054054	1.337629189	1.523880024	1.004301609	2.499795262
UF31	F	31.76	4.46	4.72	3.17	11.99	3.458207636	1.495148766	1.5518088	1.153731588	2.484072969
UF28	F	31.92	3.65	4.31	3.59	11.71	3.463232773	1.294727168	1.460937904	1.278152203	2.460443178
UF18	F	32.09	3.78	5.39	3.62	12.36	3.468544455	1.32972401	1.684545385	1.286474026	2.514465452
UF20	F	32.09	3.84	4.91	3.4	11.87	3.468544455	1.345472367	1.591273942	1.223775432	2.474014209
UF32	F	32.16	4.13	4.33	3.49	11.34	3.470723444	1.418277407	1.465567542	1.249901736	2.428336298
