Fish	Sex	Length	AnalFinLength	DorsalFinLength	DorsalFinHeight	BodyDepthMidBody	ln(Length)	ln(AnalFinLength)	ln(DorsalFinLength)	ln(DorsalFinHeight)	ln(BodyDepth)
31	F	19.74	3.47	2.2	3.55	5.1	2.982647034	1.244154594	0.78845736	1.266947603	1.62924054
35	F	19.98	3.47	2.83	3.63	5.3	2.994731773	1.244154594	1.040276712	1.289232648	1.667706821
27	F	20.75	3.55	2.28	4.17	5.63	3.032546247	1.266947603	0.824175443	1.427916036	1.728109442
23	F	21.97	4.05	2.81	3.74	5.7	3.089677886	1.398716881	1.033184483	1.319085611	1.740466175
20	F	22.52	3.55	2.32	4.12	5.82	3.114403803	1.266947603	0.841567186	1.415853163	1.761300262
18	F	23.9	4.42	2.18	4.15	6.4	3.173878459	1.486139696	0.779324877	1.423108334	1.85629799
11	F	24.32	4	3.98	4.4	6.36	3.191299057	1.386294361	1.381281819	1.481604541	1.850028377
19	F	24.59	4.24	3.46	4.3	6.6	3.202339856	1.444563269	1.241268589	1.458615023	1.887069649
13	F	25.11	4.98	3.85	5.163	7.02	3.223266173	1.605429891	1.348073148	1.641517806	1.948763218
25	F	25.12	4.45	3.17	4.38	6.9	3.223664342	1.492904096	1.153731588	1.477048724	1.931521412
12	F	25.22	4.74	2.97	4.49	6.7	3.227637331	1.556037136	1.088561953	1.501852702	1.902107526
3	F	25.48	4.32	3.25	4.76	6.75	3.237893831	1.463255402	1.178654996	1.560247668	1.909542505
26	F	26.03	4.71	3.09	5.06	7.22	3.259249719	1.549687908	1.128171091	1.621366483	1.976854953
9	F	26.29	4.78	3.79	5.07	7.18	3.269188639	1.564440547	1.332366019	1.623340818	1.971299383
8	F	26.41	4.74	3.56	4.62	7.3	3.273742726	1.556037136	1.269760545	1.530394705	1.987874348
16	F	26.52	4.85	4.06	4.89	7.31	3.277899165	1.578978705	1.401182974	1.587192303	1.989243274
5	F	27.06	4.8	4.19	5.21	7.38	3.298056623	1.568615918	1.432700734	1.650579856	1.998773639
24	F	27.13	5.28	3.76	4.72	7.05	3.300640127	1.663926098	1.324418957	1.5518088	1.953027617
4	F	27.36	5.22	3.12	4.84	7.31	3.309082093	1.652497402	1.137833002	1.576914721	1.989243274
32	F	27.43	4.88	4.81	5.2	7.53	3.311637305	1.58514522	1.570697084	1.648658626	2.018895042
36	F	28.74	5.35	4.46	5.39	8.19	3.358289881	1.677096561	1.495148766	1.684545385	2.102913898
10	F	28.78	4.53	3.52	5.17	7.72	3.359680701	1.510721939	1.25846099	1.642872689	2.043814364
21	F	30.29	5.58	5.27	5.41	8.14	3.410817625	1.719188776	1.662030363	1.688249093	2.09679018
F38	F	30.94	5.33	4.32	3.73	10.33	3.432049845	1.673351238	1.463255402	1.316408234	2.335052283
F40	F	31.07	4.28	5.56	4.47	11.67	3.436242723	1.45395301	1.715598108	1.497388409	2.457021446
14	F	31.08	5.7	5.87	5.29	8.56	3.436564525	1.740466175	1.769854634	1.665818246	2.14710019
