Fish	Sex	Length	AnalFinLength	DorsalFinLength	DorsalFinHeight	BodyDepthMidBody	ln(Length)	ln(AnalFinLength)	ln(DorsalFinLength)	ln(DorsalFinHeight)	ln(BodyDepth)
3862 F7	F	13,44	2,02	0,94	1,97	5,02	2,598235335	0,703097511	-0,061875404	0,678033543	1,613429934
36030 F2	F	13,53	2,34	1,15	1,71	4,49	2,604909442	0,850150929	0,139761942	0,536493371	1,501852702
36030 F6	F	14,87	2,35	1,1	1,93	5,27	2,69934576	0,854415328	0,09531018	0,657520003	1,662030363
3862 F8	F	15,22	2,29	1,09	1,94	4,21	2,722610352	0,828551818	0,086177696	0,662687973	1,437462648
3862 F4	F	15,59	2,56	1,2	2,08	4,3	2,746629683	0,940007258	0,182321557	0,732367894	1,458615023
36030 F7	F	15,73	2,24	1,2	2,06	5,06	2,755569717	0,806475866	0,182321557	0,722705983	1,621366483
3862 F1	F	16,46	2,54	1,43	2,35	5,01	2,800933195	0,932164081	0,357674444	0,854415328	1,611435915
3862 F2	F	16,46	2,73	1,43	2,34	4,65	2,800933195	1,004301609	0,357674444	0,850150929	1,53686722
3862 F9	F	16,75	2,34	1,6	1,93	5,35	2,818398258	0,850150929	0,470003629	0,657520003	1,677096561
3862 F6	F	16,99	2,48	1,27	2,12	5,35	2,832624936	0,90825856	0,2390169	0,751416089	1,677096561
3862 F10	F	18,41	2,79	1,53	2,46	6,05	2,912893995	1,026041596	0,425267735	0,90016135	1,800058272
3862 F5	F	18,73	2,95	1,48	2,54	5,44	2,930126516	1,08180517	0,392042088	0,932164081	1,693779061
36030 F1	F	18,8	3,01	1,4	2,45	4,82	2,93385687	1,101940079	0,336472237	0,896088025	1,572773928
3862 M8	M	12,01	4,32	1,15	1,62	3,9	2,485739636	1,463255402	0,139761942	0,482426149	1,360976553
3862 M5	M	12,05	4,25	0,98	1,59	3,84	2,48906466	1,446918983	-0,020202707	0,463734016	1,345472367
3862 M4	M	12,37	3,79	1,18	1,69	3,37	2,515274186	1,332366019	0,165514438	0,524728529	1,214912744
3862 M10	M	12,38	4,23	1,21	1,73	4,09	2,516082267	1,442201993	0,19062036	0,548121409	1,40854497
3862 M7	M	12,4	3,95	1,36	1,84	3,62	2,517696473	1,373715579	0,3074847	0,609765572	1,286474026
3862 M3	M	12,5	4,17	1,19	1,99	3,94	2,525728644	1,427916036	0,173953307	0,688134639	1,371180723
3862 M6	M	12,63	4,11	1,15	1,81	3,76	2,536074936	1,413423029	0,139761942	0,593326845	1,324418957
3862 M2	M	12,74	4,15	1,11	1,61	3,75	2,54474665	1,423108334	0,104360015	0,476234179	1,32175584
3862 M9	M	12,85	4,11	1,12	1,8	4,17	2,553343811	1,413423029	0,113328685	0,587786665	1,427916036
3862 M1	M	13,08	4,2	1,14	1,71	4,04	2,571084346	1,435084525	0,131028262	0,536493371	1,396244692
36030 M2	M	14,59	5,33	1,37	2,3	4,52	2,680336363	1,673351238	0,31481074	0,832909123	1,508511994
36030 M1	M	14,81	4,72	1,19	2,18	4,51	2,695302628	1,5518088	0,173953307	0,779324877	1,506297154
36030 M3	M	15,3	5,12	1,52	2,29	4,78	2,727852828	1,633154439	0,418710335	0,828551818	1,564440547
